Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
The Perfect Roommate,Minka Kent,1662531605,9781662531606,,2023/10/24,2023/10/24,read,read,the perfect roommate Minka Kent
Hide and Seek,Mary Burton,1503905268,9781503905269,,2023/10/27,2023/10/27,read,read,Hide and seek Mary Burton
My Darling Husband,Kimberly Belle,0369705467,9781665105262,,2023/10/29,2023/10/29,read,read,my Darling Husband Kimberly Belle
Strange Sally Diamond,Liz Nugent,1797159976,9781501189722,,2023/11/01,2023/11/01,read,read,Strange Sally Diamond Liz Nugent
Keep Your Friends Close,Lucinda Berry,1662512600,9781662512605,,2023/11/03,2023/11/03,read,read,Keep your friends close Lucinda Berry
Finders Keepers,Natalie Barelli,,9780648731252,,2023/11/08,2023/11/08,read,read,Finders Keepers Natalie Barelli
What Still Burns,Elle Grawl,,9781662511400,,2023/11/10,2023/11/10,read,read,What still Burns Elle Grawl
The Unhoneymooners,Christina Lauren,0349417598,9781508282839,,2023/11/13,2023/11/13,read,read,The unhoneymooners Christina Lauren
One of Those Faces,Elle Grawl,,9781713668701,,2023/11/15,2023/11/15,read,read,one of those faces Elle Grawl
Someone Else's Life,Lyn Liao Butler,,9781799784685,,2023/11/17,2023/11/17,read,read,Someone else’s life Lyn Liao Butler
Gone Girl,Gillian Flynn,,9780307588364,,2023/11/20,2023/11/20,read,read,Gone girl Gillian Flynn
After Dark,Minka Kent,1662511426,9781662511424,,2023/11/22,2023/11/22,read,read,After Dark Minka Kent
Meet Me at the Lake,Carley Fortune,,9780593438558,,2023/11/25,2023/11/25,read,read,Meet me at the lake Carley Fortune
You Can Trust Me,Wendy Heard,,9780593599310,,2023/11/27,2023/11/27,read,read,you can trust me Wendy Heard
Night Owl,Andrew Mayne,,9781662506437,,2023/11/29,2023/11/29,read,read,night owl Andrew Mayne
Rich Blood,"Bailey, Robert",1713652072,9781713652076,,2023/12/02,2023/12/02,read,read,rich blood Robert Bailey
With My Little Eye,Joshilyn Jackson,0063297779,9780063158672,,2023/12/07,2023/12/07,read,read,With my little eye Joshilyn Jackson
Blessing of the Lost Girls,J. A. Jance,,9780063322790,,2023/12/09,2023/12/09,read,read,Blessing of the lost girls JA Jance
The Replacement Wife,Darby Kane,143289613X,9781432896133,,2023/12/11,2023/12/11,read,read,The replacement wife Darby Kane
The Secrets We Bury,Debra Webb,,9781974945511,,2023/12/14,2023/12/14,read,read,The secrets we buried Becca Day
Bad Mother,Mia Sheridan,,9781799799474,,2023/12/16,2023/12/16,read,read,bad mother Mia Sheridan
The body in the woods,April Henry,0805098526,9781250063137,,2023/12/19,2023/12/19,read,read,The body in the woods April Henry
Now I See You,Shannon Work,1735435309,9781735435305,,2023/12/21,2023/12/21,read,read,Now I see you Shannon work
Obsessed,James Patterson,1538752980,9780316565981,,2023/12/23,2023/12/23,read,read,Obsessed James Patterson
The Night Swim,Megan Goldin,,9781250219695,,2023/12/26,2023/12/26,read,read,The night swim Megan Goldin
Pieces of Her,Karin Slaughter,1460751760,9781504780049,,2023/12/28,2023/12/28,read,read,Pieces of her Karin Slaughter
Next Door,Blake Pierce,1640295984,9781640295988,,2023/12/31,2023/12/31,read,read,Next door Blake Pierce
I've got my eyes on you,Mary Higgins Clark,1471167593,9781501171680,,2024/01/01,2024/01/01,read,read,I’ve got my eyes on you Mary Higgins Clark
"Girl, Forgotten",Karin Slaughter,1504780302,9780008303600,,2024/01/02,2024/01/02,read,read,"Girl, forgotten Karin Slaughter"
Things We Left Behind,Lucy Score,,9789020553734,,2024/01/03,2024/01/03,read,read,Things we left behind Lucy Score
Everything to Lose,Shannon Work,,9781735435350,,2024/01/04,2024/01/04,read,read,Everything to lose Shannon Work
The Killing Storm,Shannon Work,1735435368,9781735435381,,2024/01/06,2024/01/06,read,read,The killing storm Shannon Work
