Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Fog and Fury,Rachel Howzell Hall,1662522835,9781662522857,,2025/07/15,2025/07/15,read,read,fog and fury Rachel Howzell Hall
It happened on the lake,Lisa Jackson,1496737032,9781496737038,,2025/07/16,2025/07/16,read,read,It happened on the lake Lisa Jackson
Don't Open Your Eyes,Liv Constantine,,9780593875209,,2025/07/17,2025/07/17,read,read,Don’t open your eyes Liv Constantine
The Atonement Murder,Syrell Rogovin Leahy,0727846124,9780727846129,,2025/07/19,2025/07/19,read,read,The atonement murders Jennifer Ruff
Breaking Him,R. K. Lilley,1628780401,9781628780406,,2025/07/21,2025/07/21,read,read,Break him Nikki Grace
Vanished,Dan Petrosini,,9781960286048,,2025/07/25,2025/07/25,read,read,vanished Dan Petrosini
The man handler,Cairo,,9781593092757,,2025/07/26,2025/07/26,read,read,the handler L T Ryan
Tracking Justice,Shirlee McCoy,0373675410,9780373675418,,2025/07/27,2025/07/27,read,read,Tracking justice LT Ryan
Smoldering Lies,L. T. Ryan,,9781685334017,,2025/07/31,2025/07/31,read,read,Smoldering lies LT Ryan
Field of bones,J. A. Jance,,9780062864956,,2025/08/01,2025/08/01,read,read,Field of bones LT Ryan
Beneath the Walnut Grove,Don Deveau,,9781980683582,,2025/08/02,2025/08/02,read,read,beneath the grove LT Ryan
On Savage Ground,Greg Hunt,,9781432891398,,2025/08/03,2025/08/03,read,read,Savage grounds LT Ryan
Stealing lives,Arturo J. Marcano Guevara,0253341914,9780253341914,,2025/08/05,2025/08/05,read,read,Stealing lives Richard Bannister
Killer Music,Tammy L Grace,0991243463,9780991243464,,2025/08/06,2025/08/06,read,read,killer music Tammy L grace
Deadly Connection,Tammy  L Grace,,9781945591266,,2025/08/07,2025/08/07,read,read,Deadly connections Tammy L Grace
Bitter Past,Caroline Fardig,1648752330,9781974315451,,2025/08/08,2025/08/08,read,read,Bitter Past Caroline Fardig
Eye for an Eye,Caroline Fardig,198196682X,9781648752353,,2025/08/09,2025/08/09,read,read,An eye for an eye Caroline Fardig
Dead Wrong,Tammy L Grace,,9781945591051,,2025/08/10,2025/08/10,read,read,Dead wrong Tammy L Grace
Dead Sprint,Caroline Fardig,,9781648752377,,2025/08/11,2025/08/11,read,read,Dead sprint Tammy L Grace
Double Blind,Dan Alatorre,,9781729673461,,2025/08/13,2025/08/13,read,read,Double blind Dan Alatorre
Primary Target,Dan Alatorre,1954410115,9781954410114,,2025/08/14,2025/08/14,read,read,Primary Target Dan Alatorre
Third Degree,Dan Alatorre,,9781954410091,,2025/08/15,2025/08/15,read,read,Third degree Dan Alatorre
Fourth Estate,Dan Alatorre,,9781954410220,,2025/08/16,2025/08/16,read,read,Fourth Estate Dan Alatorre
Sins of the Father,Caroline Fardig,1648755860,9781648755866,,2025/08/19,2025/08/19,read,read,sins of the father Caroline Fardig
The perfect divorce!,Leigh Michaels,0263818586,9780373034444,,2025/08/20,2025/08/20,read,read,the perfect divorce Jeneva Rose
Five Sparrows,Dan Alatorre,,9781954410237,,2025/08/21,2025/08/21,read,read,Five Sparrows Dan Alatorre
The Last Affair,Margot Hunt,,9781094004112,,2025/08/22,2025/08/22,read,read,The last affair Margot Hunt
When Worlds Collide,Philip Wylie,057508250X,9780446899710,,2025/08/23,2025/08/23,read,read,When worlds collide Lauren Dykovitz
The House on the Water,Margot Hunt,1713637936,9781713637936,,2025/08/24,2025/08/24,read,read,the house on the water Margot Hunt
The Harry Starke Series,Blair Howard,,9781796229097,,2025/08/25,2025/08/25,read,read,Harry Starke Blair Howard
Love You to Death,Bebe Faas Rice,,9780006750239,,2025/08/27,2025/08/27,read,read,Love you to death Anya Mora
Too Old for This,Samantha Downing,,9780593101032,,2025/08/29,2025/08/29,read,read,Too old for this Samantha Downing
Buried Deep,Margot Hunt,171355447X,9781713554479,,2025/09/01,2025/09/01,read,read,Buried deep Margot Hunt
My Best Friend's Wife,Max Sebastian,,9798410984324,,2025/09/02,2025/09/02,read,read,My best friend’s wife Dina Santorelli***
Framed : Hardwick,Tom Meitner,,9781980619949,,2025/09/03,2025/09/03,read,read,Framed Tom Meitner
Two For The Money,Blair Howard,1518653987,9781793446213,,2025/09/05,2025/09/05,read,read,Two for the money Blair Howard
Local Woman Missing,Mary Kubica,0778389448,9781432886974,,2025/09/06,2025/09/06,read,read,woman missing Kaelin Wennerberg
All the Ways You Saved Me,Jamie Howard,1250119928,9781250119926,,2025/09/07,2025/09/07,read,read,All the ways you save me Melissa Weisner*****
Now you see me,S. J. Bolton,1445842424,9781250001634,,2025/09/09,2025/09/09,read,read,Now you see me Leah Cupps
Why She Left Us,Rahna Reiko Rizzuto,,9780060931827,,2025/09/11,2025/09/11,read,read,She left us Calista Arden
Gunning for trouble,L. L. Foreman,,9781405682121,,2025/09/12,2025/09/12,read,read,Gunning for trouble Renee Pawlish
Her Younger Self,Haley Harrigan,,9798992219210,,2025/09/13,2025/09/13,read,read,Her younger self Haley Harrigan
Dark Lies,Elliot York,1666627461,9781666627466,,2025/09/14,2025/09/14,read,read,Dark Lies Elliot York
Cruel Irony,Wendy L. Blood,1432766864,9781432766863,,2025/09/15,2025/09/15,read,read,cruel Irony Elliot York
The painted lady,Maeve Haran,,9781445872032,,2025/09/16,2025/09/16,read,read,The painted Lady Blair Howard
Great Big Beautiful Life,Emily Henry,,9789895814183,,2025/09/17,2025/09/17,read,read,Great big beautiful life Emily Henry
Twisted Games,Ana Huang,,9781957464060,,2025/09/22,2025/09/22,read,read,Twisted game Elliot York
Killer Motives,Bonnie L. Traymore,1685159087,9781685159085,,2025/09/23,2025/09/23,read,read,killer motives Bonnie Traymore
Little Loose Ends,Bonnie Traymore,,9781956806786,,2025/09/24,2025/09/24,read,read,Little loose ends Bonnie Traymore
Fatal obsession,Stephen Greenleaf,0345332873,9780709019336,,2025/09/26,2025/09/26,read,read,Fatal Obsession Elle Gray
Almost Free,David Williams,,9781465897992,,2025/09/29,2025/09/29,read,read,Almost free Mira Shaw
Darkwater Cove,Dan Padavona,,9781661419172,,2025/10/01,2025/10/01,read,read,Darkwater cove Dan Padavona
Whispers in the Dark,Dan Padavona,,9798646337741,,2025/10/03,2025/10/03,read,read,Whispers in the dark Dan Padavona
The Vanishing Girl,Laura Thalassa,,9781477821473,,2025/10/04,2025/10/04,read,read,The vanishing girl Dan Padavona
Find Her Before Dark,Dan Padavona,,9798688410815,,2025/10/05,2025/10/05,read,read,Find her before dark Dan Padavona
Pretty Little Wife,Darby Kane,0063016400,9780063449329,,2025/10/07,2025/10/07,read,read,Pretty little wife Darcy Kane
Don't Breathe,Dan Padavona,,9798554985805,,2025/10/08,2025/10/08,read,read,Don’t breathe Dan Padavona
The Collector,John Fowles,0330309900,9781850890294,,2025/10/12,2025/10/12,read,read,The collector Dan Padavona
Her last breath,Dan Padavona,,9798577723958,,2025/10/13,2025/10/13,read,read,Her last breath Dan Padavona
Fatal Mercy,Dan Padavona,,9798597721712,,2025/10/14,2025/10/14,read,read,Fatal Mercy Dan Padavona
River of bones,Dan Padavona,,9798721833946,,2025/10/15,2025/10/15,read,read,River of bones Dan Padavona
The Killing Moon,N. K. Jemisin,,9780316187282,,2025/10/16,2025/10/16,read,read,The Killing Moon Dan Padavona
I know your name,"Padavona, Dan.",,9798517887276,,2025/10/17,2025/10/17,read,read,I know your name Dan Padavona
The killing game,Iris Johansen,,9780553106244,,2025/10/19,2025/10/19,read,read,The killing game Mary stone
Never forget me,Dan Padavona,,9798477707508,,2025/10/20,2025/10/20,read,read,Never forget me Dan Padavona
The Replacement Wife,Darby Kane,143289613X,9781432896133,,2025/10/22,2025/10/22,read,read,The replacement wife Darby Kane
Gone,Dan Padavona,,9798421538141,,2025/10/23,2025/10/23,read,read,Gone Dan Padavona
The Bone Forest,Robert Holdstock,0586212922,9780246138330,,2025/10/24,2025/10/24,read,read,The bone forest Dan Padavona
Daddy's little girl,Mary Higgins Clark,074323068X,9780743230681,,2025/10/27,2025/10/27,read,read,Daddy’s little girls Dan Padavona
The wrong house,Elizabeth McGregor,,9780330372114,,2025/10/28,2025/10/28,read,read,The wrong house Zia Rayyan
Killer Instinct,Jennifer Lynn Barnes,1780876858,9781423168324,,2025/10/29,2025/10/29,read,read,killer instincts Dan Padavona
The Last Time She Saw Him,Jane Haseldine,,9781520015026,,2025/10/30,2025/10/30,read,read,The last time she saw him Kate White
The Secrets You Keep,Kate White,1470855844,9781470855840,,2025/10/31,2025/10/31,read,read,The secrets you keep Kate White
In Cold Blood,Truman Capote,,9780241907788,,2025/11/01,2025/11/01,read,read,Cold Blood Dan Padavona
The Buried Girl,Richard Montanari,0751563862,9780751563887,,2025/11/03,2025/11/03,read,read,The buried girls Dan Padavona
Poison Wood,Jennifer Moorhead,1662531427,9781662531422,,2025/11/05,2025/11/05,read,read,Poison Wood Jennifer Moorhead
Find Her,Lisa Gardner,,9781524742263,,2025/11/09,2025/11/09,read,read,Find her Lisa Gardner
Replaced,Stephanie Kreml,1955921180,9781955921183,,2025/11/10,2025/11/10,read,read,Replaced Stephanie Kreml
Erased,Elle James,1626956332,9781626956346,,2025/11/14,2025/11/14,read,read,Erased Elle James
Reese Witherspoon Harlan Coben Novel,Reese Witherspoon,,9781529956870,,2025/11/15,2025/11/15,read,read,Gone before goodbye Harlan Coben Reese Witherspoon
STATELINE,Dave Stanton,,9780989603102,,2025/11/17,2025/11/17,read,read,Stateline Dave Stanton
Before she dies,Mary Burton,1420110217,9781420110210,,2025/11/21,2025/11/21,read,read,Before she dies Richard Bannister
Murder on the Occident Express,Alex Wagner,,9798428920079,,2025/11/22,2025/11/22,read,read,Murder on the Occident express Alex Wagner
The Night Before,Lisa Jackson,1306653681,9781306653688,,2025/11/24,2025/11/24,read,read,The night before Lisa Jackson
Dying to meet you,B. M. Gill,0745172571,9780745172576,,2025/11/26,2025/11/26,read,read,Dying to meet you Sarina Bowin*****
Five Year Lie,Sarina Bowen,,9780063280618,,2025/11/27,2025/11/27,read,read,The five year lie Sarina Bowen*****
Help Me Remember,Corinne Michaels,1957309105,9781957309101,,2025/11/28,2025/11/28,read,read,Help me remember Corine Michaels
His Other Woman,Valerie Keogh,,9781836178453,,2025/11/29,2025/11/29,read,read,His other woman Valerie Keogh
Dirty Little Secrets,Liliana Hart,1951129091,9781481158640,,2025/11/30,2025/11/30,read,read,Dirty little secrets Liliana Hart
My Husband Next Door,N. James,,9781536988383,,2025/12/04,2025/12/04,read,read,My husband next door KL Slater
The Substitute (The Wedding Pact #1),Denise Grover Swank,1939996236,9781939996237,,2025/12/05,2025/12/05,read,read,The substitute Denise Grover Swank
Winter kills,Richard Condon,0099299704,9780297767640,,2025/12/10,2025/12/10,read,read,winter kill Trevor Scott
Almost a Stranger,Margaret Way,0263104818,9780263104813,,2025/12/14,2025/12/14,read,read,Almost a stranger Mira Shaw
Just the Nicest Couple,Mary Kubica,,9781432896454,,2025/12/17,2025/12/17,read,read,Just the nicest couple Mary Kubica****
The Player (The Wedding Pact #2),Denise Grover Swank,1511657332,9781511657334,,2025/12/19,2025/12/19,read,read,The player Denise Grover Swank
She Didn't See It Coming,Shari Lapena,,9798217082544,,2025/12/20,2025/12/20,read,read,She didn’t see it coming Shari Lapena
Hell to pay,George P. Pelecanos,,9789041409935,,2025/12/21,2025/12/21,read,read,Hell to pay Denise Diana Huddle
I Kill Killers,Timeless Papers,1737856921,9781737856931,,2025/12/22,2025/12/22,read,read,I kill killers S T Ashman
We Kill Killers,S. T. Ashman,1737856948,9781737856948,,2025/12/23,2025/12/23,read,read,We kill killers S T Ashman
The final kill,Meg O'Brien,,9780778320876,,2025/12/24,2025/12/24,read,read,Final Kill S T Ashman
Only the Strong Survive,Larry Platt,,9780060097745,,2025/12/27,2025/12/27,read,read,only the strong survive Annabelle Fogerty
Best Offer Wins,Marisa Kashino,1250400546,9781250400550,,2025/12/29,2025/12/29,read,read,Best offer wins Marisa Kashino
Harvest Moon,Mel Odom,,9782266112192,,2021/01/05,2021/01/05,read,read,Harvest Moon
Hidden summit,Robyn Carr,0778318702,9781283718622,,2021/01/13,2021/01/13,read,read,Hidden Summit
Redwood bend,Robyn Carr,,9781617936708,,2021/01/18,2021/01/18,read,read,Redwood Bend
Sunrise point,Robyn Carr,,9781408969823,,2021/01/22,2021/01/22,read,read,Sunrise Point
The Newcomes,William Makepeace Thackeray,014043481X,9780140434811,,2021/02/04,2021/02/04,read,read,The Newcomer
The Promise,Danielle Steel,8478882529,9782909241845,,2021/02/17,2021/02/17,read,read,The Promise
Just a girl who loves Tennis,new hope,,9781087284606,,2021/03/01,2021/03/01,read,read,A New Hope
Wildest Dreams,Dorothy Cork,0373083653,9780373083657,,2021/03/06,2021/03/06,read,read,Wildest Dreams
Edge of evil,J. A. Jance,,9781585477470,,2021/03/23,2021/03/23,read,read,Edge of Evil J A Jance
The Beach House,Rachel Hanna,,9781696781862,,2021/04/13,2021/04/13,read,read,The Beach House-Rachel Hanna
Paradise Valley,Robyn Carr,1410417344,9781607519225,,2021/04/26,2021/04/26,read,read,Paradise Valley
The Lying Game,Sara Shepard,,9780061869709,,2021/05/09,2021/05/09,read,read,the Lying Game-Sara Shepard
Two truths and a lie,Katrina Kittle,,9780061671128,,2021/05/18,2021/05/18,read,read,Two truths and a Lie
The Seven Minutes,Irving Wallace,0671203592,9780671450120,,2021/06/04,2021/06/04,read,read,seven minutes in heaven
The Invitation,Vi Keeland,,9781951045982,,2021/09/02,2021/09/02,read,read,The invitation Vi Keeland
The Moores are missing,James Patterson,147892022X,9781473552814,,2021/09/14,2021/09/14,read,read,The Moore's are missing James Patterson
Beautiful Mistake,Vi Keeland,1682309827,9781682309827,,2021/09/23,2021/09/23,read,read,Beautiful mistake Vi Keeland
Loyal Wife,Natalie Barelli,,9780648225935,,2021/09/27,2021/09/27,read,read,The Loyal Wife Natalie Barelli
You Betrayed Me,Lisa Jackson,1420149059,9781529304312,,2021/10/02,2021/10/02,read,read,You betrayed me Lisa Jackson
The inn at Eagle Point,Sherryl Woods,,9781602854369,,2021/10/10,2021/10/10,read,read,The Inn at eagle’s point sherryl woods
Harbour Lights,Derek Mahon,1852353848,9781852353841,,2021/10/19,2021/10/19,read,read,Harbour Lights
Driftwood Cottage,Sherryl Woods,077832947X,9780778329473,,2021/10/27,2021/10/27,read,read,Driftwood Cottage
Moonlight Cove,Sherryl Woods,,9781459201507,,2021/11/01,2021/11/01,read,read,Moonlight Cove
Beach lane,Sherryl Woods,,9781611731156,,2021/11/05,2021/11/05,read,read,Beach Lane
The millionaire next door,Thomas J. Stanley,,9780743517843,,2021/12/01,2021/12/01,read,read,The millionaires last stand
Dogwood hill,Sherryl Woods,1628995041,9781628995046,,2021/12/13,2021/12/13,read,read,Dogwood Hill
Malibu Rising,Taylor Jenkins Reid,1637839731,9788367054447,,2021/12/31,2021/12/31,read,read,Malibu Rising
Made of Steel,Ivy Smoak,,9781942381143,,2022/01/01,2022/01/01,read,read,made of Steel-Ivy Smoak
Riverbend Gap,Denise Hunter,0785240519,9780785240501,,2022/01/12,2022/01/12,read,read,Riverbend Gap
Third Chances,Dan Petrosini,,9781960286062,,2022/02/04,2022/02/04,read,read,third chances
Missing pieces,Joy Fielding,8422668068,9781568954912,,2022/02/09,2022/02/09,read,read,Missing pieces
From here to you,Jamie McGuire,,9781538730010,,2022/03/01,2022/03/01,read,read,From here to you Jamie McGuire
The Stopover,T L Swan,1542015871,9781799709381,,2022/03/04,2022/03/04,read,read,the stopover
The Secrets You Keep,Kate White,1470855844,9781470855840,,2022/03/07,2022/03/07,read,read,The secrets you keep Kate white
The Woman In Cabin 10,Ruth Ware,,9788498387964,,2022/03/10,2022/03/10,read,read,The woman in cabin 10 Ruth Ware
I Temporarily Do,Ellie Cahill,,9781974477425,,2022/03/13,2022/03/13,read,read,I Temporarily do-Ellie Cahill
The Couple Next Door,Shari Lapena,,9780735221086,,2022/03/18,2022/03/18,read,read,The couple next door Shari Lapena
The Vacation,T. M. Logan,1250270782,9781250752383,,2022/03/24,2022/03/24,read,read,The Vacation T M Logan
Someone We Know,Shari Lapena,,9780525507581,,2022/03/27,2022/03/27,read,read,someone we know Shari Lapena
The Guilt Trip,Sandie Jones,1250818990,9781250818997,,2022/03/30,2022/03/30,read,read,The guilt trip Sandie Jones
Private Property,Skye Warren,1645960609,9781645960607,,2022/04/10,2022/04/10,read,read,Private Property Skye Warren
Beachfront Bakery,Fiona Grace,,9781094374895,,2022/04/13,2022/04/13,read,read,A killer cupcake Fiona Grace
Second First Impressions,Sally Thorne,179994770X,9780063007130,,2022/04/16,2022/04/16,read,read,second first impression Sally Thorne
Every Last Secret,A. R. Torre,1542020190,9781542020190,,2022/05/06,2022/05/06,read,read,Every last secret AR Torre
Have You Seen Me?,Kate White,,9780062979391,,2022/05/11,2022/05/11,read,read,have you seen me? Kate white
The Reunion,Meghan Quinn,1713644886,9781713644880,,2022/05/14,2022/05/14,read,read,The reunion Meghan Quinn
Maybe We Will,Melissa Foster,,9781713563051,,2022/05/17,2022/05/17,read,read,maybe we will Melissa Foster
Love Next Door,Helena Hunting,1542029309,9781542029308,,2022/05/23,2022/05/23,read,read,Love Next door Helena Hunting
Runaway,Ivy Smoak,1942381387,9781942381389,,2022/05/26,2022/05/26,read,read,Runaway Ivy Smoak
Love on the Lake,Helena Hunting,,9781542031257,,2022/05/28,2022/05/28,read,read,love on the lake Helena Hunting
The Girls Weekend,Jody Gehrman,1643859579,9781335669339,,2022/05/31,2022/05/31,read,read,The girls weekend Jody Gehrman
Every Vow You Break,Peter Swanson,,9780063062344,,2022/06/03,2022/06/03,read,read,Every vow you break Peter Swanson
The Return,Nicholas Sparks,,9781538728574,,2022/06/06,2022/06/06,read,read,The return Nicholas sparks
"Cane Brothers Series. 3 Books Collection Set. a Not So Meet Cute, So Not Meant to Be, a Long Time Coming by Meghan Quinn",Meghan Quinn,,9781637994283,,2022/06/09,2022/06/09,read,read,A not so meet cute Meghan Quinn
This Time Around,Denise Hunter,0785248773,9780785248767,,2022/06/12,2022/06/12,read,read,This time around Denise Hunter
Don't Lie To Me,Willow Rose,,9781954139077,,2022/06/17,2022/06/17,read,read,Don’t lie to me Willow Rose
Ugly Love,Colleen Hoover,,9786051730295,,2022/06/23,2022/06/23,read,read,ugly love Colleen Hoover
Finlay Donovan Knocks 'Em Dead,Elle Cosimano,,9781432899608,,2022/06/26,2022/06/26,read,read,Finlay Donovan knocks ‘‘em dead
WHAT YOU DID,Willow Rose,,9781954139701,,2022/06/29,2022/06/29,read,read,what you did Willow rose
NEVER EVER,Willow Rose,1071411705,9781071411704,,2022/07/02,2022/07/02,read,read,Never Ever Willow Rose
Say You Love Me,Willow Rose,1954139012,9781954139015,,2022/07/04,2022/07/04,read,read,say you love me willow rose
The wrong man,Kate White,,9780062350657,,2022/07/07,2022/07/07,read,read,the wrong man Kate white
The Maid,Nita Prose,0593356160,9780593510841,,2022/07/13,2022/07/13,read,read,The maid Nita Prose
The Family Holiday,Shalini Boland,1838881522,9781838881528,,2022/07/16,2022/07/16,read,read,the family holiday Shalini Boland
If looks could kill,Kate White,0446617695,9780759598263,,2022/07/21,2022/07/21,read,read,If looks could kill Kate White
'Til death do us part,Kate White,0759510822,9780759510845,,2022/07/24,2022/07/24,read,read,Til death do us part Kate white
Hush,Kate White,,9780061576614,,2022/07/27,2022/07/27,read,read,Hush Kate White
Over Her Dead Body,Kate White,,9780759514041,,2022/07/30,2022/07/30,read,read,over her dead body Kate white
The Last Thing He Told Me,Laura Dave,1788169271,9781387589999,,2022/08/02,2022/08/02,read,read,the last thing he told me
Don't Leave Me Alone,Sage Cogner,,9798623510488,,2022/08/05,2022/08/05,read,read,Don’t leave me alone Kyla Sharp
Lethally Blond (Bailey Weggins),Kate White,,9780446195560,,2022/08/07,2022/08/07,read,read,lethally blond Kate white
So pretty it hurts,Kate White,,9780062098108,,2022/08/13,2022/08/13,read,read,so pretty it hurts Kate white
Maybe We Won't,Melissa Foster,1542034922,9781542034920,,2022/08/16,2022/08/16,read,read,maybe we won’t Melissa Foster
In My Dreams I Hold a Knife,Ashley Winstead,172822988X,9781443465434,,2022/08/19,2022/08/19,read,read,in my dreams I hold a knife Ashley Winstead
Even If It Kills Her,Kate White,,9780062448873,,2022/08/22,2022/08/22,read,read,Even if it kills her Kate White
LET ME GO,Willow Rose,,9781694108548,,2022/08/25,2022/08/25,read,read,Let me go Willow rose
Beachfront Bakery,Fiona Grace,,9781094374895,,2022/08/27,2022/08/27,read,read,A treacherous tart Fiona Grace
It's Not Over,Willow Rose,,9781954139053,,2022/09/02,2022/09/02,read,read,it’s not over Willow rose
Steal,James Patterson,,9781787461970,,2022/09/05,2022/09/05,read,read,steal James Patterson
Not Dead Yet,Willow Rose,,9798674422075,,2022/09/08,2022/09/08,read,read,not dead yet Willow rose
Murder Games,James Patterson,1787461297,9781478916239,,2022/09/11,2022/09/11,read,read,murder Games (instinct) James Patterson
TO DIE FOR,Willow Rose,,9781954938083,,2022/09/13,2022/09/13,read,read,To die for Willow rose
Two Truths and a Lie,Meg Mitchell Moore,,9780062999153,,2022/09/16,2022/09/16,read,read,Two truths and a lie Meg mitchell Moore
"Hook, Line, and Sinker",Tessa Bailey,0063045702,9780063212749,,2022/09/19,2022/09/19,read,read,"hook, line and sinker Tessa Bailey"
The Palm Beach Murders,James Patterson,1538750031,9781538754078,,2022/09/25,2022/09/25,read,read,The palm beach murders James Patterson
What hurts the most,Willow Rose,,9781522774938,,2022/09/28,2022/09/28,read,read,what hurts the most Willow rose
Mulberry Hollow,Denise Hunter,1638083452,9780785240549,,2022/10/01,2022/10/01,read,read,mulberry Hollow Denise Hunter
Such a Good Girl,Willow Rose,,9781954938199,,2022/10/03,2022/10/03,read,read,such a good girl Willow rose
The Wife Who Knew Too Much,Michele Campbell,1250753015,9781250313348,,2022/10/06,2022/10/06,read,read,The wife who knew too much Michele campbell
Her Dark Lies,J.T. Ellison,0778331989,9780778331988,,2022/10/09,2022/10/09,read,read,Her dark lies j.t Ellison
Lie to me,David Martin,0747235074,9780747279563,,2022/10/15,2022/10/15,read,read,lie to me JT Ellison
Stranger on the Beach,Michele Campbell,,9781250202543,,2022/10/18,2022/10/18,read,read,A stranger on the beach Michele Campbell
She Was The Quiet One,Michele Campbell,,9780008301811,,2022/10/23,2022/10/23,read,read,She was the quiet one Michele Campbell
This Time Tomorrow,Emma Straub,,9781405946131,,2022/10/26,2022/10/26,read,read,This time tomorrow Emma Straub
The Second Husband,Sheila Bishop,,9780850465341,,2022/10/29,2022/10/29,read,read,The second husband Kate White
It's Always The Husband,Michele Campbell,1250081823,9781427286147,,2022/11/01,2022/11/01,read,read,It’s always the husband Michele Campbell
Survive the Night,Riley Sager,,9780593183175,,2022/11/04,2022/11/04,read,read,Survive the night Riley Sager
29 Seconds,T. M. Logan,1250182298,9781250182296,,2022/11/09,2022/11/09,read,read,29 seconds T M Logan
The Summer I Turned Pretty,Jenny Han,,9786070722165,,2022/11/12,2022/11/12,read,read,The summer I turned Pretty Jenny Han
It's Not Summer Without You,Jenny Han,,9786053042891,,2022/11/15,2022/11/15,read,read,It’s not summer without you Jenny Han
We'll Always Have Summer,Jenny Han,,9783446240100,,2022/11/18,2022/11/18,read,read,we’ll always have summer Jenny Han
Burn for Burn,Jenny Han,1471116891,9781481424745,,2022/11/21,2022/11/21,read,read,Burn for Burn Jenny Han
Fire with Fire,Jenny Han,3446246517,9781442440791,,2022/11/24,2022/11/24,read,read,Fire with fire Jenny Han
Ashes to Ashes,Jenny Han,144244083X,9781471116933,,2022/11/26,2022/11/26,read,read,Ashes to ashes Jenny Han
A Stranger's Game,Colleen Coble,0785228578,9780785228578,,2022/11/29,2022/11/29,read,read,A stranger’s game Colleen Coble
Tidewater Inn,Colleen Coble,,9781611734973,,2022/12/05,2022/12/05,read,read,Tidewater Inn Colleen Coble
To All the Boys I've Loved Before,Jenny Han,605299293X,9786052992937,,2022/12/08,2022/12/08,read,read,To all the boys I loved before Jenny Han
P.S. I Still Love You,Jenny Han,,9781442426740,,2022/12/11,2022/12/11,read,read,p.s. I still love you Jenny Han
"Always and Forever, Lara Jean",Jenny Han,,9786052994894,,2022/12/13,2022/12/13,read,read,Always and forever Lara Jean Jenny Han
Vacationland,Meg Mitchell Moore,,9780063241909,,2022/12/16,2022/12/16,read,read,vacationland Meg Mitchell Moore
Hidden Pictures,Jason Rekulak,1250819350,9781250819369,,2022/12/19,2022/12/19,read,read,Hidden pictures Jason Rekulak
The couple at no. 9,Claire Douglas,,9780063138162,,2022/12/22,2022/12/22,read,read,The couple at number 9 Claire Douglas
November 9,Colleen Hoover,,9781508284987,,2022/12/25,2022/12/25,read,read,November 9 Colleen Hoover
Every Summer After,Carley Fortune,0593638468,9780349433103,,2022/12/28,2022/12/28,read,read,Every summer after Carley Fortune
All your perfects,Colleen Hoover,,9781398519732,,2022/12/31,2022/12/31,read,read,All your perfects Colleen Hoover
